nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Nubank Parque,Nubank Parque,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0d/d1/10/allianz-parque.jpg?w=900&h=500&s=1,nubankparque-sp,São Paulo - SP,SP,43.713
Estádio Municipal Paulo Machado de Carvalho,Pacaembu,https://prefeitura.sp.gov.br/documents/34276/0/WhatsApp+Image+2025-01-25+at+13.25.22.jpeg/a3132f46-9a13-271b-b805-3e0aef2f0f97?t=1737825276482,pacaembu-sp,São Paulo - SP,SP,37.900
Estádio Doutor Francisco de Palma Travassos,Palma Travassos,https://scontent-bsb1-1.xx.fbcdn.net/v/t39.30808-6/494508781_1210301640538871_7151175911956365298_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1354&ctp=p180x540&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=NHYzstmu6vcQ7kNvwFUBAsM&_nc_oc=Ado3jvxRdSKh_FiOxeY30nkk7akEU9AJhP4eO-1uIdoy_7Z6otpnp_bkAFGLpsllIaw&_nc_zt=23&_nc_ht=scontent-bsb1-1.xx&_nc_gid=_7fZFcubg9lCDEscgjr3UA&_nc_ss=7a2a8&oh=00_AQL3TFOxkKAvL4n0WHfefKMbKp747bNMdPwGwV1InICwQg&oe=6AB20907,palmatravassos-sp,Ribeirão Preto - SP,SP,18.277
Estádio Primeiro de Maio,Primeiro de Maio,https://images.futebolinterior.com.br/2024/03/berno-1.webp,primeirodemaio-sp,São Bernardo do Campo - SP,SP,15.739
Estádio Municipal Eduardo José Farah,Prudentão,https://s2.glbimg.com/7dPjXy-w7KeonHskIjxq2EiH8wo=/620x390/s.glbimg.com/es/ge/f/original/2013/11/12/dsc_0312_ok.jpg,prudentao-sp,Presidente Prudente - SP,SP,45.954
Estádio Santa Cruz,Santa Cruz,https://upload.wikimedia.org/wikipedia/commons/c/cd/27529_thumbzoom.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,santacruz-sp,Ribeirão Preto - SP,SP,28.946
Estádio Municipal Sócrates Stamato,Sócrates Stamato,https://scontent-bsb1-1.xx.fbcdn.net/v/t39.30808-6/480133165_1155628549339514_6603706028345145325_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1139&ctp=s960x960&_nc_cat=100&ccb=1-7&_nc_sid=833d8c&_nc_ohc=8Qny9eyAcN8Q7kNvwGEukGG&_nc_oc=Adr4FrkF6zo7pNGaGh1i3ngpSSaItZDmOc28YC0ap7EzleDgkx7_g5dhNCGKN0rnI5Y&_nc_zt=23&_nc_ht=scontent-bsb1-1.xx&_nc_gid=PIZkjNAmtteyK_Ec3qbxLA&_nc_ss=7a2a8&oh=00_AQJOjSLzrN32K4JoFyJsoBUDk8dq9RrSd7TteXU3xqr1Gg&oe=6AB1FDC8,socratesstamato-sp,Bebedouro - SP,SP,15.300
Estádio Doutor Adhemar de Barros,Taquarão,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxjma_n-LTUTs4AamT5AICFpsYbdgUF3zF7A5ph2W-9wqFzCp8WRKJsgJR&s=10,taquarao-sp,Taquaritinga - SP,SP,16.805
Estádio Benedito Teixeira,Teixeirão,https://s2-ge.glbimg.com/8frvVtqS4tN4KYtf38WG00aE8KI=/0x0:1024x685/1008x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2020/r/N/EDsvBAQJefw9XCCj4Vog/whatsapp-image-2020-06-28-at-11.08.06-2-.jpeg,teixeirao-sp,São José do Rio Preto - SP,SP,32.168
Estádio Tenente Carriço,Tenente Carriço,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTbcU3sJcBileXBm2_UMkjVxtuuZKk6XGl-M8fdxLvZA&s=10,tenentecarrico-sp,Penápolis - SP,SP,15.000
Estádio Municipal Antônio Viana da Silva,Tonicão,,tonicao-sp,Assis - SP,SP,10.500
Estádio Vail Chaves,Vail Chaves,https://oimpactomogi.com.br/wp-content/uploads/2025/03/estadio-vail-chaves-mmec-mogi-mirim-esporte-clube-sapao-da-mogiana.webp,vailchaves-sp,Mogi Mirim - SP,SP,19.900
Estádio Urbano Caldeira,Vila Belmiro,https://www.estadios.net/wp-content/uploads/2019/04/estadio-vila-belmiro-inicial.jpg,vilabelmiro-sp,Santos - SP,SP,16.798
Estádio Leôncio de Souza Miranda,Mirandão,,mirandao-to,Araguaína - TO,TO,10.000
Estádio Nilton Santos,Nilton Santos,"https://static.wixstatic.com/media/6374cc_e32e804cbbe944bcaf294bd1e63512c3~mv2.jpeg/v1/fill/w_250,h_140,al_c,q_90,enc_auto/6374cc_e32e804cbbe944bcaf294bd1e63512c3~mv2.jpeg",niltonsantos-to,Palmas - TO,TO,12.000
Estádio João Ribeiro,Ribeirão,,ribeirao-to,Tocantinópolis - TO,TO,10.000
